v1	I(V2)	Ix(x2:VF0)
4.669999999999945e+000	2.996336e+000	2.996336e+000
4.679999999999945e+000	2.996256e+000	2.996256e+000
4.689999999999944e+000	2.996175e+000	2.996175e+000
4.699999999999944e+000	2.996091e+000	2.996091e+000
4.709999999999944e+000	2.996004e+000	2.996004e+000
4.719999999999944e+000	2.995914e+000	2.995914e+000
4.729999999999944e+000	2.995822e+000	2.995822e+000
4.739999999999943e+000	2.995727e+000	2.995727e+000
4.749999999999943e+000	2.995629e+000	2.995629e+000
4.759999999999943e+000	2.995528e+000	2.995528e+000
4.769999999999943e+000	2.995424e+000	2.995424e+000
4.779999999999943e+000	2.995317e+000	2.995317e+000
4.789999999999942e+000	2.995206e+000	2.995206e+000
4.799999999999942e+000	2.995092e+000	2.995092e+000
4.809999999999942e+000	2.994975e+000	2.994975e+000
4.819999999999942e+000	2.994854e+000	2.994854e+000
4.829999999999942e+000	2.994729e+000	2.994729e+000
4.839999999999941e+000	2.994601e+000	2.994601e+000
4.849999999999941e+000	2.994468e+000	2.994468e+000
4.859999999999941e+000	2.994332e+000	2.994332e+000
4.869999999999941e+000	2.994191e+000	2.994191e+000
4.879999999999940e+000	2.994046e+000	2.994046e+000
4.889999999999940e+000	2.993897e+000	2.993897e+000
4.899999999999940e+000	2.993743e+000	2.993743e+000
4.909999999999940e+000	2.993585e+000	2.993585e+000
4.919999999999940e+000	2.993422e+000	2.993422e+000
4.929999999999939e+000	2.993254e+000	2.993254e+000
4.939999999999939e+000	2.993081e+000	2.993081e+000
4.949999999999939e+000	2.992903e+000	2.992903e+000
4.959999999999939e+000	2.992719e+000	2.992719e+000
4.969999999999939e+000	2.992530e+000	2.992530e+000
4.979999999999938e+000	2.992336e+000	2.992336e+000
4.989999999999938e+000	2.992135e+000	2.992135e+000
4.999999999999938e+000	2.991929e+000	2.991929e+000
5.009999999999938e+000	2.991717e+000	2.991717e+000
5.019999999999937e+000	2.991498e+000	2.991498e+000
5.029999999999937e+000	2.991273e+000	2.991273e+000
5.039999999999937e+000	2.991042e+000	2.991042e+000
5.049999999999937e+000	2.990804e+000	2.990804e+000
5.059999999999937e+000	2.990559e+000	2.990559e+000
5.069999999999936e+000	2.990307e+000	2.990307e+000
5.079999999999936e+000	2.990048e+000	2.990048e+000
5.089999999999936e+000	2.989781e+000	2.989781e+000
5.099999999999936e+000	2.989507e+000	2.989507e+000
5.109999999999936e+000	2.989225e+000	2.989225e+000
5.119999999999935e+000	2.988935e+000	2.988935e+000
